,estalt,vario,elapsed,timestamp
532,-46.0,-327.0,0.016,1681843439.36
533,,,,
534,-416.0,-1.0,0.015,1681843439.52
535,-449.0,-1.0,0.016,1681843439.60
536,-399.0,-1.0,0.016,1681843439.68
537,-391.0,-1.0,0.015,1681843439.76
538,-374.0,-1.0,0.016,1681843439.84
539,-391.0,-1.0,0.016,1681843439.92
540,-458.0,-1.0,0.015,1681843440.00
541,-432.0,-1.0,0.016,1681843440.08
542,-466.0,-1.0,0.016,1681843440.16
543,-399.0,-1.0,0.015,1681843440.24
544,-441.0,-1.0,0.015,1681843440.32
545,,,,
546,,,,
547,,,,
548,1500.0,1500.0,0.016,1681843440.51
549,-441.0,-1.0,0.016,1681843440.59
550,-424.0,-1.0,0.016,1681843440.67
551,-424.0,-1.0,0.015,1681843440.75
552,-449.0,-1.0,0.016,1681843440.83
553,-374.0,-1.0,0.016,1681843440.91
554,-432.0,-1.0,0.015,1681843440.99
555,-391.0,-1.0,0.016,1681843441.07
556,-424.0,-1.0,0.016,1681843441.15
557,-424.0,-1.0,0.015,1681843441.23
558,-432.0,-1.0,0.016,1681843441.31
559,-432.0,-1.0,0.016,1681843441.39
560,-382.0,-1.0,0.015,1681843441.47
561,-416.0,-1.0,0.016,1681843441.55
562,-416.0,-1.0,0.016,1681843441.63
563,-424.0,-1.0,0.015,1681843441.71
564,-374.0,-1.0,0.016,1681843441.79
565,-432.0,-1.0,0.016,1681843441.87
566,-424.0,-1.0,0.015,1681843441.95
567,-374.0,-1.0,0.016,1681843442.03
568,-416.0,-1.0,0.016,1681843442.11
569,-391.0,-1.0,0.015,1681843442.19
570,-466.0,-1.0,0.016,1681843442.27
571,-432.0,-1.0,0.016,1681843442.35
572,-407.0,-1.0,0.015,1681843442.43
573,-399.0,-1.0,0.016,1681843442.51
574,-374.0,-1.0,0.016,1681843442.59
575,-441.0,-1.0,0.015,1681843442.67
576,-416.0,-1.0,0.016,1681843442.75
577,-399.0,-1.0,0.016,1681843442.83
578,-432.0,-1.0,0.015,1681843442.91
579,-458.0,-1.0,0.016,1681843442.99
580,-432.0,-1.0,0.016,1681843443.07
581,-466.0,-1.0,0.015,1681843443.15
582,-391.0,-1.0,0.016,1681843443.23
583,,,,
584,-374.0,-1.0,0.015,1681843443.37
585,-399.0,-1.0,0.016,1681843443.45
586,-399.0,-1.0,0.015,1681843443.53
587,-407.0,-1.0,0.015,1681843443.61
588,-458.0,-1.0,0.016,1681843443.69
589,-432.0,-1.0,0.016,1681843443.77
590,-407.0,-1.0,0.015,1681843443.85
591,-407.0,-1.0,0.016,1681843443.93
592,-432.0,-1.0,0.016,1681843444.01
593,-416.0,-1.0,0.015,1681843444.09
594,-416.0,-1.0,0.016,1681843444.17
595,-432.0,-1.0,0.016,1681843444.25
596,-483.0,-1.0,0.015,1681843444.33
597,-365.0,-1.0,0.016,1681843444.41
598,-382.0,-1.0,0.016,1681843444.49
599,-416.0,-1.0,0.015,1681843444.57
600,-466.0,-1.0,0.016,1681843444.65
601,-424.0,-1.0,0.016,1681843444.73
602,,,,
603,-416.0,-1.0,0.016,1681843444.88
604,-382.0,-1.0,0.016,1681843444.96
605,-491.0,-1.0,0.016,1681843445.04
606,-432.0,-1.0,0.015,1681843445.12
607,-491.0,-1.0,0.016,1681843445.20
608,-449.0,-1.0,0.015,1681843445.28
609,-516.0,-1.0,0.016,1681843445.36
610,-416.0,-1.0,0.016,1681843445.44
611,-432.0,-1.0,0.015,1681843445.52
612,-508.0,-1.0,0.016,1681843445.60
613,-432.0,-1.0,0.016,1681843445.68
614,-391.0,-1.0,0.015,1681843445.76
615,-432.0,-1.0,0.016,1681843445.84
616,-449.0,-1.0,0.015,1681843445.92
617,-432.0,-1.0,0.015,1681843446.00
618,-441.0,-1.0,0.015,1681843446.08
619,-399.0,-1.0,0.015,1681843446.16
620,-500.0,-1.0,0.015,1681843446.24
621,-449.0,-1.0,0.015,1681843446.32
622,-416.0,-1.0,0.015,1681843446.40
623,-449.0,-1.0,0.015,1681843446.48
624,-474.0,-1.0,0.015,1681843446.56
625,-466.0,-1.0,0.015,1681843446.64
626,-449.0,-1.0,0.014,1681843446.72
627,-458.0,-1.0,0.015,1681843446.80
628,-432.0,-1.0,0.015,1681843446.88
629,-441.0,-1.0,0.015,1681843446.96
630,-474.0,-1.0,0.015,1681843447.04
631,-432.0,-1.0,0.015,1681843447.12
632,-449.0,-1.0,0.015,1681843447.20
633,-399.0,-1.0,0.015,1681843447.28
634,-441.0,-1.0,0.015,1681843447.36
635,-466.0,-1.0,0.015,1681843447.44
636,-441.0,-1.0,0.015,1681843447.52
637,-491.0,-1.0,0.015,1681843447.60
638,-432.0,-1.0,0.015,1681843447.68
